inspected_layer,inspected_feature_id,layer,feature_id,activation,prompt_rank,row_id,case_id,fact_id,variant_id,variant_source,pair_type,is_correct,subject,relation_id,correct_answer,target_true,target_new,generated_answer,strict_answer_segment,strict_matched_answer,prompt,template,base_prompt,feature_fraction_diff_correct_minus_wrong,feature_active_fraction_correct,feature_active_fraction_wrong,feature_total_active_count,n_correct_activations_in_dataset,n_wrong_activations_in_dataset,top_relations,top_subjects,analysis_source,analysis_direction,split,model_name
2,690,2,690,411.3606262207031,1,2146,12492,cf_12492,paraphrase_00,paraphrase_prompts,correct_correct,True,Dictionary of National Biography,P364,English,English,Italian," English.
Category:1982 Australian novels
Category:Miles Franklin",English.,English,"References
Middlemiss.org

Category:1982 Australian novels
Category:Miles Franklin Award-winning works The original language of Dictionary of National Biography is",The language of {} was,The language of Dictionary of National Biography was,0.0998,0.2218,0.122,186,264,426,"P364:136, P37:110, P106:82, P101:77, P103:62","Athens:3, World Health Organization:3, Great Soviet Encyclopedia:2, Newfoundland and Labrador:2, Les Bois:2",switching,both,test,google/gemma-3-4b-pt
2,690,2,690,386.8122863769531,2,2469,14902,cf_14902,paraphrase_01,paraphrase_prompts,wrong_wrong,False,World Health Organization,P37,Russian,Russian,Finnish," English.

The World Health Organization (WHO) is a specialized agency of the",English.,,"References

Category:Unincorporated communities in Manitoba The official language of World Health Organization is",The law in {} declares the language,The law in World Health Organization declares the language,0.0998,0.2218,0.122,186,264,426,"P364:136, P37:110, P106:82, P101:77, P103:62","Athens:3, World Health Organization:3, Great Soviet Encyclopedia:2, Newfoundland and Labrador:2, Les Bois:2",switching,both,test,google/gemma-3-4b-pt
2,690,2,690,351.66217041015625,3,1570,15600,cf_15600,paraphrase_00,paraphrase_prompts,correct_wrong,True,International Political Sociology,P364,English,English,French," English. International Political Sociology, 1(1), 1-10","English. International Political Sociology, 1(1), 1-10",English,"References

Further reading 
 Owen G. (1958). The original language of International Political Sociology was",The language of {} is,The language of International Political Sociology is,0.0998,0.2218,0.122,186,264,426,"P364:136, P37:110, P106:82, P101:77, P103:62","Athens:3, World Health Organization:3, Great Soviet Encyclopedia:2, Newfoundland and Labrador:2, Les Bois:2",switching,both,test,google/gemma-3-4b-pt
2,690,2,690,334.4893798828125,4,497,13193,cf_13193,paraphrase_01,paraphrase_prompts,correct_correct,True,Jewish Theological Seminary of America,P140,Judaism,Judaism,Islam, Judaism. The Jewish Theological Seminary of America is a Jewish seminary in New York City,Judaism. The Jewish Theological Seminary of America is a Jewish seminary in New York City,Judaism,For services to Education. The official religion of Jewish Theological Seminary of America is,{} follows the religion of,Jewish Theological Seminary of America follows the religion of,0.0998,0.2218,0.122,186,264,426,"P364:136, P37:110, P106:82, P101:77, P103:62","Athens:3, World Health Organization:3, Great Soviet Encyclopedia:2, Newfoundland and Labrador:2, Les Bois:2",switching,both,test,google/gemma-3-4b-pt
2,690,2,690,324.4816589355469,5,2828,19217,cf_19217,paraphrase_00,paraphrase_prompts,wrong_wrong,False,Valencian Community,P37,Spanish,Spanish,French," Valencian, a Romance language. The Valencian language is a dialect of Catalan","Valencian, a Romance language. The Valencian language is a dialect of Catalan",,"References

Category:Psychological warfare
Category:Internet memes The official language of Valencian Community is","In {}, they understand","In Valencian Community, they understand",0.0998,0.2218,0.122,186,264,426,"P364:136, P37:110, P106:82, P101:77, P103:62","Athens:3, World Health Organization:3, Great Soviet Encyclopedia:2, Newfoundland and Labrador:2, Les Bois:2",switching,both,test,google/gemma-3-4b-pt
2,690,2,690,319.9043884277344,6,4244,759,cf_759,paraphrase_00,paraphrase_prompts,correct_correct,True,An Englishman Abroad,P364,English,English,French," English.

The Beijing Ducks (Chinese: 北京鴨子; pinyin:",English.,English,"Current roster

References

Category:Sport in Beijing
Category:Basketball teams in China The original language of An Englishman Abroad was",The original language of {} is,The original language of An Englishman Abroad is,0.0998,0.2218,0.122,186,264,426,"P364:136, P37:110, P106:82, P101:77, P103:62","Athens:3, World Health Organization:3, Great Soviet Encyclopedia:2, Newfoundland and Labrador:2, Les Bois:2",switching,both,test,google/gemma-3-4b-pt
2,690,2,690,319.4303283691406,7,3281,2763,cf_2763,paraphrase_01,paraphrase_prompts,correct_wrong,False,Autonomous University of Barcelona,P276,Barcelona,Barcelona,Uruguay, a great place to see ICP. The show was amazing. ICP was great.,a great place to see ICP. The show was amazing. ICP was great.,,"Tour
Insane Clown Posse promoted the tour for Bang! The location of Autonomous University of Barcelona is",Where is {}? It is located in,Where is Autonomous University of Barcelona? It is located in,0.0998,0.2218,0.122,186,264,426,"P364:136, P37:110, P106:82, P101:77, P103:62","Athens:3, World Health Organization:3, Great Soviet Encyclopedia:2, Newfoundland and Labrador:2, Les Bois:2",switching,both,test,google/gemma-3-4b-pt
2,690,2,690,317.1203308105469,8,1571,15600,cf_15600,paraphrase_01,paraphrase_prompts,correct_wrong,False,International Political Sociology,P364,English,English,French, developed by the French sociologist Pierre Bourdieu. The Icelandic language is a North Germanic,developed by the French sociologist Pierre Bourdieu. The Icelandic language is a North Germanic,,Sports in Iceland are very popular. The language of International Political Sociology was,The language of {} is,The language of International Political Sociology is,0.0998,0.2218,0.122,186,264,426,"P364:136, P37:110, P106:82, P101:77, P103:62","Athens:3, World Health Organization:3, Great Soviet Encyclopedia:2, Newfoundland and Labrador:2, Les Bois:2",switching,both,test,google/gemma-3-4b-pt
2,690,2,690,315.6796875,9,2075,12569,cf_12569,paraphrase_01,paraphrase_prompts,correct_correct,True,Newfoundland and Labrador,P37,English,English,French, English. The official language of the province is English. The official language of the,English. The official language of the province is English. The official language of the,English,"Mixed Martial Arts 

 Mixed martial arts is legalised in Bahrain. The official language of Newfoundland and Labrador is","In {}, they understand","In Newfoundland and Labrador, they understand",0.0998,0.2218,0.122,186,264,426,"P364:136, P37:110, P106:82, P101:77, P103:62","Athens:3, World Health Organization:3, Great Soviet Encyclopedia:2, Newfoundland and Labrador:2, Les Bois:2",switching,both,test,google/gemma-3-4b-pt
2,690,2,690,309.4298400878906,10,2147,12492,cf_12492,paraphrase_01,paraphrase_prompts,correct_correct,True,Dictionary of National Biography,P364,English,English,Italian, English. The first edition of the Dictionary of National Biography was published in 1,English. The first edition of the Dictionary of National Biography was published in 1,English,In June 2013 the co-ownership was renewed. The original language of Dictionary of National Biography was,The language of {} was,The language of Dictionary of National Biography was,0.0998,0.2218,0.122,186,264,426,"P364:136, P37:110, P106:82, P101:77, P103:62","Athens:3, World Health Organization:3, Great Soviet Encyclopedia:2, Newfoundland and Labrador:2, Les Bois:2",switching,both,test,google/gemma-3-4b-pt
