fact_id,case_id,split,relation_id,subject,template,base_prompt,variant_id,variant_source,prompt,correct_answer,target_true,target_new,model_name,generated_answer,graded_answer_segment,matched_answer,is_correct,pair_type
cf_20952,20952,test,P30,Angola,{} is located in,Angola is located in,paraphrase_00,paraphrase_prompts,Plaque - located at Punkeydoodle's Corners. Angola belongs to the continent of,Africa,Africa,Antarctica,google/gemma-3-4b-pt, North America. It is located in the state of New York. The population of,North America. It is located in the state of New York. The population of,,False,correct_wrong
cf_20952,20952,test,P30,Angola,{} is located in,Angola is located in,paraphrase_01,paraphrase_prompts,Last updated on 4 February 2017. Angola is a part of the continent of,Africa,Africa,Antarctica,google/gemma-3-4b-pt, Africa. It is a country that is located in the south of the continent.,Africa. It is a country that is located in the south of the continent.,Africa,True,correct_wrong
cf_819,819,test,P276,2011 Cannes Film Festival,{} can be found in,2011 Cannes Film Festival can be found in,paraphrase_00,paraphrase_prompts,"(Newtownabbey, Antrim)
 Leroy Hugh Logan, Inspector, Metropolitan Police. Where is 2011 Cannes Film Festival? It is located in",Cannes,Cannes,Prescott,google/gemma-3-4b-pt," the south of France, in the city of Cannes. The festival is held annually","the south of France, in the city of Cannes. The festival is held annually",Cannes,True,correct_wrong
cf_819,819,test,P276,2011 Cannes Film Festival,{} can be found in,2011 Cannes Film Festival can be found in,paraphrase_01,paraphrase_prompts,Gold medal at the Winter Olympics in 1994. 2011 Cannes Film Festival is in,Cannes,Cannes,Prescott,google/gemma-3-4b-pt," the spotlight.

The 2011 Cannes Film Festival is in the",the spotlight.,,False,correct_wrong
cf_9012,9012,test,P495,Delta Goodrem,"{}, that originated in","Delta Goodrem, that originated in",paraphrase_00,paraphrase_prompts,The first president of the team was doctor Hector Priem. Delta Goodrem was from,Australia,Australia,India,google/gemma-3-4b-pt," the team.

The team was formed in 1999.

",the team.,,False,correct_wrong
cf_9012,9012,test,P495,Delta Goodrem,"{}, that originated in","Delta Goodrem, that originated in",paraphrase_01,paraphrase_prompts,"Then, Yuu was supposed to take care of him. Delta Goodrem, that was formulated in",Australia,Australia,India,google/gemma-3-4b-pt," 1993, is a Australian singer, songwriter, and actress.","1993, is a Australian singer, songwriter, and actress.",Australia,True,correct_wrong
cf_7314,7314,test,P1303,Lady Gaga,"{}, the","Lady Gaga, the",paraphrase_00,paraphrase_prompts,Crónica dunha fecunda amizade. Lady Gaga plays the,piano,piano,violin,google/gemma-3-4b-pt," piano and sings a cover of the song ""I'll Stand By You""","piano and sings a cover of the song ""I'll Stand By You""",piano,True,correct_wrong
cf_7314,7314,test,P1303,Lady Gaga,"{}, the","Lady Gaga, the",paraphrase_01,paraphrase_prompts,"Brooklyn: Lambda Publishers, 1999. .
George Eliot. Lady Gaga plays",piano,piano,violin,google/gemma-3-4b-pt," the role of George Eliot in the film.
The film is based on the",the role of George Eliot in the film.,,False,correct_wrong
cf_7623,7623,test,P103,Bernard Giraudeau,{} is a native speaker of,Bernard Giraudeau is a native speaker of,paraphrase_00,paraphrase_prompts,"A recent entry door and temporary screens have been added. Bernard Giraudeau, speaker of",French,French,Polish,google/gemma-3-4b-pt," the National Assembly, has been elected to the post of president of the French Senate","the National Assembly, has been elected to the post of president of the French Senate",,False,correct_wrong
cf_7623,7623,test,P103,Bernard Giraudeau,{} is a native speaker of,Bernard Giraudeau is a native speaker of,paraphrase_01,paraphrase_prompts,The upper-story windows are double hung one-over-ones in plain frames. The native language of Bernard Giraudeau is,French,French,Polish,google/gemma-3-4b-pt," French. Bernard Giraudeau was born on 19th of April,","French. Bernard Giraudeau was born on 19th of April,",French,True,correct_wrong
cf_19726,19726,test,P140,christian worship,The official religion of {} is,The official religion of christian worship is,paraphrase_00,paraphrase_prompts,She ended the season with 79 runs at 9.87. christian worship is affiliated with the religion,Christianity,Christianity,Islam,google/gemma-3-4b-pt," of christianity.

The 2020 season was the 1",of christianity.,Christianity,True,correct_wrong
cf_19726,19726,test,P140,christian worship,The official religion of {} is,The official religion of christian worship is,paraphrase_01,paraphrase_prompts,"Money
Players begin the game without money. christian worship follows the religion of",Christianity,Christianity,Islam,google/gemma-3-4b-pt," the church of jesus christ of latter-day saints.
The game is played",the church of jesus christ of latter-day saints.,,False,correct_wrong
cf_18390,18390,test,P127,Oak Street Beach,{} is owned by,Oak Street Beach is owned by,paraphrase_00,paraphrase_prompts,"1918)
 Herman H. Hanneken, United States Marine Corps officer (b. Oak Street Beach owner",Chicago,Chicago,Amazon,google/gemma-3-4b-pt," (b. 1880)
* 1919",(b. 1880),,False,correct_wrong
cf_18390,18390,test,P127,Oak Street Beach,{} is owned by,Oak Street Beach is owned by,paraphrase_01,paraphrase_prompts,The landing gear is from a J-3 Cub. Oak Street Beach is from,Chicago,Chicago,Amazon,google/gemma-3-4b-pt, a 1930s postcard. The Chicago skyline is from a ,a 1930s postcard. The Chicago skyline is from a,Chicago,True,correct_wrong
cf_6515,6515,test,P17,Guillaumes,"{}, which is located in","Guillaumes, which is located in",paraphrase_00,paraphrase_prompts,2. Guillaumes is located in,France,France,Norway,google/gemma-3-4b-pt," the heart of the city of Toulouse, in the district of Saint-Cyp","the heart of the city of Toulouse, in the district of Saint-Cyp",,False,correct_wrong
cf_6515,6515,test,P17,Guillaumes,"{}, which is located in","Guillaumes, which is located in",paraphrase_01,paraphrase_prompts,(2007). Guillaumes is located in the country of,France,France,Norway,google/gemma-3-4b-pt, France. Guillaumes is a small town located in the department of Haute-,France. Guillaumes is a small town located in the department of Haute-,France,True,correct_wrong
cf_17856,17856,test,P17,Mandailing language,{} is located in,Mandailing language is located in,paraphrase_00,paraphrase_prompts,"""Saint George Hotels."" Mandailing language, located in",Indonesia,Indonesia,Poland,google/gemma-3-4b-pt," the province of North Sumatra, Indonesia, is a language that is spoken by the","the province of North Sumatra, Indonesia, is a language that is spoken by the",Indonesia,True,correct_wrong
cf_17856,17856,test,P17,Mandailing language,{} is located in,Mandailing language is located in,paraphrase_01,paraphrase_prompts,"1890 

The 1890 Census was the Eleventh. Mandailing language, in",Indonesia,Indonesia,Poland,google/gemma-3-4b-pt," the 1890 Census, was listed as a separate language.

","the 1890 Census, was listed as a separate language.",,False,correct_wrong
cf_13848,13848,test,P131,Interstate 255,{} is within,Interstate 255 is within,paraphrase_00,paraphrase_prompts,"1814)
1898 – Henry Bessemer, English engineer and businessman (b. Interstate 255 is located in",Illinois,Illinois,Vienna,google/gemma-3-4b-pt, the U.S. state of Illinois. It is a major north–south,the U.S. state of Illinois. It is a major north–south,Illinois,True,correct_wrong
cf_13848,13848,test,P131,Interstate 255,{} is within,Interstate 255 is within,paraphrase_01,paraphrase_prompts,The history of the University of Nottingham. Interstate 255 is in,Illinois,Illinois,Vienna,google/gemma-3-4b-pt, the process of being widened to six lanes from the Mississippi River to the Illinois state,the process of being widened to six lanes from the Mississippi River to the Illinois state,,False,correct_wrong
cf_5094,5094,test,P131,Tom McCall Waterfront Park,{} is in,Tom McCall Waterfront Park is in,paraphrase_00,paraphrase_prompts,"The median age was 35 years. Tom McCall Waterfront Park, in",Oregon,Oregon,Victoria,google/gemma-3-4b-pt," Portland, Oregon, is a 100-acre (40 ha","Portland, Oregon, is a 100-acre (40 ha",Oregon,True,correct_wrong
cf_5094,5094,test,P131,Tom McCall Waterfront Park,{} is in,Tom McCall Waterfront Park is in,paraphrase_01,paraphrase_prompts,"Camp], 1936. Tom McCall Waterfront Park is within",Oregon,Oregon,Victoria,google/gemma-3-4b-pt," 1.5 km of the property.

The venue is located in Portland",1.5 km of the property.,,False,correct_wrong
cf_7055,7055,test,P27,Austin Currie,"{}, a citizen of","Austin Currie, a citizen of",paraphrase_00,paraphrase_prompts,New Delhi: Author’s Press. Austin Currie is a citizen of,Ireland,Ireland,Canada,google/gemma-3-4b-pt, the world. He has lived in many countries and has travelled extensively. He has,the world. He has lived in many countries and has travelled extensively. He has,,False,correct_wrong
cf_7055,7055,test,P27,Austin Currie,"{}, a citizen of","Austin Currie, a citizen of",paraphrase_01,paraphrase_prompts,"Marcus Patuleius Crescens, named in an inscription from Trebula Mutusca. Austin Currie, who holds a citizenship from",Ireland,Ireland,Canada,google/gemma-3-4b-pt," the Republic of Ireland, is a member of the European Parliament.

The name","the Republic of Ireland, is a member of the European Parliament.",Ireland,True,correct_wrong
cf_11270,11270,test,P740,North Side Gang,{} formed in,North Side Gang formed in,paraphrase_00,paraphrase_prompts,"by a character"". North Side Gang, that was formed in",Chicago,Chicago,Belfast,google/gemma-3-4b-pt," 1920, was the first gang to be formed in Chicago.","1920, was the first gang to be formed in Chicago.",Chicago,True,correct_wrong
cf_11270,11270,test,P740,North Side Gang,{} formed in,North Side Gang formed in,paraphrase_01,paraphrase_prompts,"Jeronimo dos Ramos, editor, Lisbon: M. Rodrigues. North Side Gang was founded in",Chicago,Chicago,Belfast,google/gemma-3-4b-pt, 1992 by the Portuguese artist Jeronimo dos Ramos. The group,1992 by the Portuguese artist Jeronimo dos Ramos. The group,,False,correct_wrong
cf_15054,15054,test,P127,Nintendo Software Planning & Development,{} owner,Nintendo Software Planning & Development owner,paraphrase_00,paraphrase_prompts,"July 1920. Nintendo Software Planning & Development, from",Nintendo,Nintendo,Chicago,google/gemma-3-4b-pt," the Nintendo Research & Development Division, was established.

July 192","the Nintendo Research & Development Division, was established.",Nintendo,True,correct_wrong
cf_15054,15054,test,P127,Nintendo Software Planning & Development,{} owner,Nintendo Software Planning & Development owner,paraphrase_01,paraphrase_prompts,For services to Education. Nintendo Software Planning & Development is from,Nintendo,Nintendo,Chicago,google/gemma-3-4b-pt," Kyoto, Japan.

The company was founded in 1983 by","Kyoto, Japan.",,False,correct_wrong
cf_17571,17571,test,P106,Hilary Putnam,{} works as,Hilary Putnam works as,paraphrase_00,paraphrase_prompts,Late 1970s and early 1980s releases mostly had plastic bases. The profession of Hilary Putnam is,philosopher,philosopher,actor,google/gemma-3-4b-pt, philosophy. Hilary Putnam is a philosopher who has made important contributions to the philosophy of,philosophy. Hilary Putnam is a philosopher who has made important contributions to the philosophy of,philosopher,True,correct_wrong
cf_17571,17571,test,P106,Hilary Putnam,{} works as,Hilary Putnam works as,paraphrase_01,paraphrase_prompts,"Rev Dr Peter McEnhill is the current minister. Hilary Putnam, who works as",philosopher,philosopher,actor,google/gemma-3-4b-pt," a minister in the Church of England, is the curate.

The church is","a minister in the Church of England, is the curate.",,False,correct_wrong
