fact_id,subject,paraphrase_variant,prompt_given_to_model,true_answer_target_true,counterfactual_answer_target_new,gemma3_generated_answer,correct_against_target_true
cf_20952,Angola,paraphrase_00,Plaque - located at Punkeydoodle's Corners. Angola belongs to the continent of,Africa,Antarctica, North America. It is located in the state of New York. The population of,False
cf_20952,Angola,paraphrase_01,Last updated on 4 February 2017. Angola is a part of the continent of,Africa,Antarctica, Africa. It is a country that is located in the south of the continent.,True
cf_7314,Lady Gaga,paraphrase_00,Crónica dunha fecunda amizade. Lady Gaga plays the,piano,violin," piano and sings a cover of the song ""I'll Stand By You""",True
cf_7314,Lady Gaga,paraphrase_01,"Brooklyn: Lambda Publishers, 1999. .
George Eliot. Lady Gaga plays",piano,violin," the role of George Eliot in the film.
The film is based on the",False
cf_17870,Allegro Non Troppo,paraphrase_00,"1919)
 March 29 – Harry Ritz, American actor (b. The original language of Allegro Non Troppo is",Italian,Serbian, Italian. Allegro Non Troppo is a 1924 Italian silent,True
cf_17870,Allegro Non Troppo,paraphrase_01,The population was 171 in 2018. The original language of Allegro Non Troppo was,Italian,Serbian," English, but the language has been changed to Italian. The town is located in",False
cf_1041,Sunday Night Baseball,paraphrase_00,"2 ""Florence."" Sunday Night Baseball was originally aired on",ESPN,CBS," ESPN2 on April 10, 2005. The Yankees",False
cf_1041,Sunday Night Baseball,paraphrase_01,"His 12 dissertations are subdivided into 84 ""questions."" Sunday Night Baseball premieres on",ESPN,CBS," ESPN on April 10, 2022. The 2",True
cf_7623,Bernard Giraudeau,paraphrase_00,"A recent entry door and temporary screens have been added. Bernard Giraudeau, speaker of",French,Polish," the National Assembly, has been elected to the post of president of the French Senate",False
cf_7623,Bernard Giraudeau,paraphrase_01,The upper-story windows are double hung one-over-ones in plain frames. The native language of Bernard Giraudeau is,French,Polish," French. Bernard Giraudeau was born on 19th of April,",True
cf_19726,christian worship,paraphrase_00,She ended the season with 79 runs at 9.87. christian worship is affiliated with the religion,Christianity,Islam," of christianity.

The 2020 season was the 1",True
cf_19726,christian worship,paraphrase_01,"Money
Players begin the game without money. christian worship follows the religion of",Christianity,Islam," the church of jesus christ of latter-day saints.
The game is played",False
cf_18390,Oak Street Beach,paraphrase_00,"1918)
 Herman H. Hanneken, United States Marine Corps officer (b. Oak Street Beach owner",Chicago,Amazon," (b. 1880)
* 1919",False
cf_18390,Oak Street Beach,paraphrase_01,The landing gear is from a J-3 Cub. Oak Street Beach is from,Chicago,Amazon, a 1930s postcard. The Chicago skyline is from a ,True
cf_6515,Guillaumes,paraphrase_00,2. Guillaumes is located in,France,Norway," the heart of the city of Toulouse, in the district of Saint-Cyp",False
