fact_id,case_id,split,relation_id,subject,template,base_prompt,variant_id,variant_source,prompt,correct_answer,target_true,target_new,model_name,generated_answer,strict_answer_segment,strict_matched_answer,is_correct
cf_20952,20952,test,P30,Angola,{} is located in,Angola is located in,paraphrase_00,paraphrase_prompts,Plaque - located at Punkeydoodle's Corners. Angola belongs to the continent of,Africa,Africa,Antarctica,google/gemma-3-4b-pt, North America. It is located in the state of New York. The population of,North America. It is located in the state of New York. The population of,,False
cf_20952,20952,test,P30,Angola,{} is located in,Angola is located in,paraphrase_01,paraphrase_prompts,Last updated on 4 February 2017. Angola is a part of the continent of,Africa,Africa,Antarctica,google/gemma-3-4b-pt, Africa. It is a country that is located in the south of the continent.,Africa. It is a country that is located in the south of the continent.,Africa,True
cf_3648,3648,test,P190,Shanghai,What is the twin city of {}? It is,What is the twin city of Shanghai? It is,paraphrase_00,paraphrase_prompts,"Hamid Berhili (MAR), 10:4
 Paul Ingle (GBR) def. The twin city of Shanghai is",Barcelona,Barcelona,Dresden,google/gemma-3-4b-pt, the largest city in China and the most populous city in the world. The city,the largest city in China and the most populous city in the world. The city,,False
cf_3648,3648,test,P190,Shanghai,What is the twin city of {}? It is,What is the twin city of Shanghai? It is,paraphrase_01,paraphrase_prompts,"Palgrave Macmillan, 2013. Shanghai is a twin city of",Barcelona,Barcelona,Dresden,google/gemma-3-4b-pt," London, and the two cities have been linked by a sister city agreement since ","London, and the two cities have been linked by a sister city agreement since",,False
cf_819,819,test,P276,2011 Cannes Film Festival,{} can be found in,2011 Cannes Film Festival can be found in,paraphrase_00,paraphrase_prompts,"(Newtownabbey, Antrim)
 Leroy Hugh Logan, Inspector, Metropolitan Police. Where is 2011 Cannes Film Festival? It is located in",Cannes,Cannes,Prescott,google/gemma-3-4b-pt," the south of France, in the city of Cannes. The festival is held annually","the south of France, in the city of Cannes. The festival is held annually",,False
cf_819,819,test,P276,2011 Cannes Film Festival,{} can be found in,2011 Cannes Film Festival can be found in,paraphrase_01,paraphrase_prompts,Gold medal at the Winter Olympics in 1994. 2011 Cannes Film Festival is in,Cannes,Cannes,Prescott,google/gemma-3-4b-pt," the spotlight.

The 2011 Cannes Film Festival is in the",the spotlight.,,False
cf_9012,9012,test,P495,Delta Goodrem,"{}, that originated in","Delta Goodrem, that originated in",paraphrase_00,paraphrase_prompts,The first president of the team was doctor Hector Priem. Delta Goodrem was from,Australia,Australia,India,google/gemma-3-4b-pt," the team.

The team was formed in 1999.

",the team.,,False
cf_9012,9012,test,P495,Delta Goodrem,"{}, that originated in","Delta Goodrem, that originated in",paraphrase_01,paraphrase_prompts,"Then, Yuu was supposed to take care of him. Delta Goodrem, that was formulated in",Australia,Australia,India,google/gemma-3-4b-pt," 1993, is a Australian singer, songwriter, and actress.","1993, is a Australian singer, songwriter, and actress.",,False
cf_8024,8024,test,P178,Google Patents,"{}, a product developed by","Google Patents, a product developed by",paraphrase_00,paraphrase_prompts,(2005) Dying for jade. Google Patents was a product of,Google,Google,Microsoft,google/gemma-3-4b-pt, Google that allowed users to search for patents. The company was launched in 2,Google that allowed users to search for patents. The company was launched in 2,Google,True
cf_8024,8024,test,P178,Google Patents,"{}, a product developed by","Google Patents, a product developed by",paraphrase_01,paraphrase_prompts,D-5541. Google Patents is created by,Google,Google,Microsoft,google/gemma-3-4b-pt, Google as a free search engine for academic and patent literature. It is a great,Google as a free search engine for academic and patent literature. It is a great,Google,True
