fact_id,pair_type,n_variants,n_correct,n_wrong
cf_10000,wrong_wrong,2,0,2
cf_10006,wrong_wrong,2,0,2
cf_10033,correct_wrong,2,1,1
cf_1004,wrong_wrong,2,0,2
cf_10043,wrong_wrong,2,0,2
cf_10047,wrong_wrong,2,0,2
cf_10076,wrong_wrong,2,0,2
cf_10079,wrong_wrong,2,0,2
cf_10101,correct_correct,2,2,0
cf_10106,correct_correct,2,2,0
cf_10110,correct_correct,2,2,0
cf_10120,correct_wrong,2,1,1
cf_10123,wrong_wrong,2,0,2
cf_10124,wrong_wrong,2,0,2
cf_10134,correct_correct,2,2,0
cf_10140,wrong_wrong,2,0,2
cf_10144,correct_wrong,2,1,1
cf_1016,correct_wrong,2,1,1
cf_10160,wrong_wrong,2,0,2
cf_10165,correct_correct,2,2,0
cf_10167,wrong_wrong,2,0,2
cf_10171,wrong_wrong,2,0,2
cf_10182,correct_wrong,2,1,1
cf_10192,wrong_wrong,2,0,2
cf_1020,wrong_wrong,2,0,2
cf_10211,correct_wrong,2,1,1
cf_10214,wrong_wrong,2,0,2
cf_10222,wrong_wrong,2,0,2
cf_10238,wrong_wrong,2,0,2
cf_10240,wrong_wrong,2,0,2
cf_10241,wrong_wrong,2,0,2
cf_10242,correct_correct,2,2,0
cf_10247,wrong_wrong,2,0,2
cf_10258,wrong_wrong,2,0,2
cf_10276,wrong_wrong,2,0,2
cf_10278,correct_wrong,2,1,1
cf_10286,correct_correct,2,2,0
cf_1029,wrong_wrong,2,0,2
cf_10295,wrong_wrong,2,0,2
cf_10301,correct_wrong,2,1,1
cf_10306,correct_wrong,2,1,1
cf_10311,wrong_wrong,2,0,2
cf_10336,wrong_wrong,2,0,2
cf_10339,correct_correct,2,2,0
cf_10341,correct_correct,2,2,0
cf_10359,correct_wrong,2,1,1
cf_10360,correct_wrong,2,1,1
cf_10366,wrong_wrong,2,0,2
cf_10376,correct_correct,2,2,0
cf_10388,correct_correct,2,2,0
cf_10397,correct_wrong,2,1,1
cf_1041,correct_correct,2,2,0
cf_10426,correct_wrong,2,1,1
cf_10437,correct_wrong,2,1,1
cf_10442,wrong_wrong,2,0,2
cf_10456,wrong_wrong,2,0,2
cf_10463,wrong_wrong,2,0,2
cf_10472,correct_wrong,2,1,1
cf_10476,correct_correct,2,2,0
cf_1051,correct_wrong,2,1,1
cf_10520,correct_wrong,2,1,1
cf_10525,correct_wrong,2,1,1
cf_10535,correct_correct,2,2,0
cf_10544,wrong_wrong,2,0,2
cf_10554,correct_correct,2,2,0
cf_10559,correct_correct,2,2,0
cf_10561,correct_wrong,2,1,1
cf_10572,correct_wrong,2,1,1
cf_10590,wrong_wrong,2,0,2
cf_10593,correct_wrong,2,1,1
cf_106,wrong_wrong,2,0,2
cf_10609,correct_wrong,2,1,1
cf_1061,correct_correct,2,2,0
cf_10621,correct_wrong,2,1,1
cf_10626,wrong_wrong,2,0,2
cf_10629,wrong_wrong,2,0,2
cf_10642,wrong_wrong,2,0,2
cf_10650,correct_wrong,2,1,1
cf_10655,correct_wrong,2,1,1
cf_10688,correct_wrong,2,1,1
cf_1069,correct_correct,2,2,0
cf_10705,wrong_wrong,2,0,2
cf_10710,wrong_wrong,2,0,2
cf_1072,wrong_wrong,2,0,2
cf_10726,wrong_wrong,2,0,2
cf_10729,wrong_wrong,2,0,2
cf_10745,wrong_wrong,2,0,2
cf_10746,wrong_wrong,2,0,2
cf_10748,wrong_wrong,2,0,2
cf_10751,wrong_wrong,2,0,2
cf_10756,correct_correct,2,2,0
cf_10763,correct_wrong,2,1,1
cf_10766,correct_correct,2,2,0
cf_10801,wrong_wrong,2,0,2
cf_10803,correct_wrong,2,1,1
cf_10807,wrong_wrong,2,0,2
cf_10819,correct_wrong,2,1,1
cf_10827,correct_wrong,2,1,1
cf_10839,correct_wrong,2,1,1
cf_10842,wrong_wrong,2,0,2
cf_10851,wrong_wrong,2,0,2
cf_10876,wrong_wrong,2,0,2
cf_10878,correct_correct,2,2,0
cf_10885,wrong_wrong,2,0,2
cf_10893,correct_correct,2,2,0
cf_10895,wrong_wrong,2,0,2
cf_10913,correct_correct,2,2,0
cf_10921,wrong_wrong,2,0,2
cf_10923,wrong_wrong,2,0,2
cf_10928,wrong_wrong,2,0,2
cf_10929,correct_wrong,2,1,1
cf_1093,correct_wrong,2,1,1
cf_10965,correct_correct,2,2,0
cf_10983,correct_wrong,2,1,1
cf_10986,wrong_wrong,2,0,2
cf_11005,wrong_wrong,2,0,2
cf_11014,wrong_wrong,2,0,2
cf_11022,wrong_wrong,2,0,2
cf_11023,correct_correct,2,2,0
cf_11029,wrong_wrong,2,0,2
cf_11035,correct_correct,2,2,0
cf_11059,correct_wrong,2,1,1
cf_11063,wrong_wrong,2,0,2
cf_11078,correct_wrong,2,1,1
cf_11087,wrong_wrong,2,0,2
cf_11093,wrong_wrong,2,0,2
cf_11099,wrong_wrong,2,0,2
cf_11106,wrong_wrong,2,0,2
cf_11109,wrong_wrong,2,0,2
cf_11111,wrong_wrong,2,0,2
cf_11118,correct_wrong,2,1,1
cf_11125,wrong_wrong,2,0,2
cf_11135,wrong_wrong,2,0,2
cf_11137,wrong_wrong,2,0,2
cf_11146,correct_correct,2,2,0
cf_11147,correct_wrong,2,1,1
cf_11149,wrong_wrong,2,0,2
cf_11152,wrong_wrong,2,0,2
cf_11164,correct_wrong,2,1,1
cf_11170,wrong_wrong,2,0,2
cf_11181,wrong_wrong,2,0,2
cf_11197,wrong_wrong,2,0,2
cf_11235,wrong_wrong,2,0,2
cf_11253,correct_wrong,2,1,1
cf_11264,wrong_wrong,2,0,2
cf_11270,correct_wrong,2,1,1
cf_11289,wrong_wrong,2,0,2
cf_11298,correct_wrong,2,1,1
cf_11309,correct_wrong,2,1,1
cf_11310,wrong_wrong,2,0,2
cf_11317,wrong_wrong,2,0,2
cf_11323,correct_wrong,2,1,1
cf_11327,wrong_wrong,2,0,2
cf_11338,correct_wrong,2,1,1
cf_11377,correct_wrong,2,1,1
cf_11384,wrong_wrong,2,0,2
cf_1140,correct_correct,2,2,0
cf_11401,correct_correct,2,2,0
cf_11436,correct_wrong,2,1,1
cf_11448,wrong_wrong,2,0,2
cf_11455,wrong_wrong,2,0,2
cf_11457,wrong_wrong,2,0,2
cf_11462,wrong_wrong,2,0,2
cf_11467,wrong_wrong,2,0,2
cf_11472,correct_wrong,2,1,1
cf_11502,wrong_wrong,2,0,2
cf_11504,wrong_wrong,2,0,2
cf_11506,wrong_wrong,2,0,2
cf_11519,correct_correct,2,2,0
cf_11522,wrong_wrong,2,0,2
cf_11526,wrong_wrong,2,0,2
cf_11528,correct_wrong,2,1,1
cf_11532,wrong_wrong,2,0,2
cf_11544,wrong_wrong,2,0,2
cf_11552,wrong_wrong,2,0,2
cf_11561,wrong_wrong,2,0,2
cf_11563,correct_correct,2,2,0
cf_11586,wrong_wrong,2,0,2
cf_11589,wrong_wrong,2,0,2
cf_116,correct_correct,2,2,0
cf_11605,wrong_wrong,2,0,2
cf_11609,wrong_wrong,2,0,2
cf_11626,wrong_wrong,2,0,2
cf_11641,correct_wrong,2,1,1
cf_11697,correct_correct,2,2,0
cf_11701,wrong_wrong,2,0,2
cf_11724,wrong_wrong,2,0,2
cf_11738,wrong_wrong,2,0,2
cf_11746,correct_wrong,2,1,1
cf_11753,wrong_wrong,2,0,2
cf_1176,wrong_wrong,2,0,2
cf_11762,wrong_wrong,2,0,2
cf_11763,wrong_wrong,2,0,2
cf_1180,correct_correct,2,2,0
cf_11816,wrong_wrong,2,0,2
cf_11825,wrong_wrong,2,0,2
cf_11845,correct_wrong,2,1,1
cf_11850,correct_wrong,2,1,1
cf_11854,wrong_wrong,2,0,2
cf_11856,wrong_wrong,2,0,2
cf_11857,wrong_wrong,2,0,2
cf_11861,wrong_wrong,2,0,2
cf_11863,wrong_wrong,2,0,2
cf_11866,correct_wrong,2,1,1
cf_11868,wrong_wrong,2,0,2
cf_11879,wrong_wrong,2,0,2
cf_11881,wrong_wrong,2,0,2
cf_11884,wrong_wrong,2,0,2
cf_11894,wrong_wrong,2,0,2
cf_11904,correct_wrong,2,1,1
cf_11924,wrong_wrong,2,0,2
cf_11934,wrong_wrong,2,0,2
cf_11937,wrong_wrong,2,0,2
cf_11948,wrong_wrong,2,0,2
cf_11954,correct_wrong,2,1,1
cf_11955,wrong_wrong,2,0,2
cf_11980,correct_correct,2,2,0
cf_11985,wrong_wrong,2,0,2
cf_11988,correct_wrong,2,1,1
cf_1199,wrong_wrong,2,0,2
cf_11991,wrong_wrong,2,0,2
cf_12003,correct_correct,2,2,0
cf_1202,wrong_wrong,2,0,2
cf_12024,wrong_wrong,2,0,2
