fact_id,case_id,split,relation_id,subject,template,base_prompt,variant_id,variant_source,prompt,correct_answer,target_true,target_new
cf_20952,20952,test,P30,Angola,{} is located in,Angola is located in,paraphrase_00,paraphrase_prompts,Plaque - located at Punkeydoodle's Corners. Angola belongs to the continent of,Africa,Africa,Antarctica
cf_20952,20952,test,P30,Angola,{} is located in,Angola is located in,paraphrase_01,paraphrase_prompts,Last updated on 4 February 2017. Angola is a part of the continent of,Africa,Africa,Antarctica
cf_3648,3648,test,P190,Shanghai,What is the twin city of {}? It is,What is the twin city of Shanghai? It is,paraphrase_00,paraphrase_prompts,"Hamid Berhili (MAR), 10:4
 Paul Ingle (GBR) def. The twin city of Shanghai is",Barcelona,Barcelona,Dresden
cf_3648,3648,test,P190,Shanghai,What is the twin city of {}? It is,What is the twin city of Shanghai? It is,paraphrase_01,paraphrase_prompts,"Palgrave Macmillan, 2013. Shanghai is a twin city of",Barcelona,Barcelona,Dresden
cf_819,819,test,P276,2011 Cannes Film Festival,{} can be found in,2011 Cannes Film Festival can be found in,paraphrase_00,paraphrase_prompts,"(Newtownabbey, Antrim)
 Leroy Hugh Logan, Inspector, Metropolitan Police. Where is 2011 Cannes Film Festival? It is located in",Cannes,Cannes,Prescott
cf_819,819,test,P276,2011 Cannes Film Festival,{} can be found in,2011 Cannes Film Festival can be found in,paraphrase_01,paraphrase_prompts,Gold medal at the Winter Olympics in 1994. 2011 Cannes Film Festival is in,Cannes,Cannes,Prescott
cf_9012,9012,test,P495,Delta Goodrem,"{}, that originated in","Delta Goodrem, that originated in",paraphrase_00,paraphrase_prompts,The first president of the team was doctor Hector Priem. Delta Goodrem was from,Australia,Australia,India
cf_9012,9012,test,P495,Delta Goodrem,"{}, that originated in","Delta Goodrem, that originated in",paraphrase_01,paraphrase_prompts,"Then, Yuu was supposed to take care of him. Delta Goodrem, that was formulated in",Australia,Australia,India
cf_8024,8024,test,P178,Google Patents,"{}, a product developed by","Google Patents, a product developed by",paraphrase_00,paraphrase_prompts,(2005) Dying for jade. Google Patents was a product of,Google,Google,Microsoft
cf_8024,8024,test,P178,Google Patents,"{}, a product developed by","Google Patents, a product developed by",paraphrase_01,paraphrase_prompts,D-5541. Google Patents is created by,Google,Google,Microsoft
cf_7314,7314,test,P1303,Lady Gaga,"{}, the","Lady Gaga, the",paraphrase_00,paraphrase_prompts,Crónica dunha fecunda amizade. Lady Gaga plays the,piano,piano,violin
cf_7314,7314,test,P1303,Lady Gaga,"{}, the","Lady Gaga, the",paraphrase_01,paraphrase_prompts,"Brooklyn: Lambda Publishers, 1999. .
George Eliot. Lady Gaga plays",piano,piano,violin
cf_4572,4572,test,P190,Cologne,The twin city of {} is,The twin city of Cologne is,paraphrase_00,paraphrase_prompts,"References

Category:Populated places in the Moses Kotane Local Municipality Cologne is a twin city of",Beijing,Beijing,Cairo
cf_4572,4572,test,P190,Cologne,The twin city of {} is,The twin city of Cologne is,paraphrase_01,paraphrase_prompts,"Agent who was first seen in ""Puppy Unplugged"". What is the twin city of Cologne? It is",Beijing,Beijing,Cairo
cf_3358,3358,test,P740,Institut Polaire,{} originated in,Institut Polaire originated in,paraphrase_00,paraphrase_prompts,Cook is also a member of Omega Psi Phi. Institut Polaire that was founded in,Perth,Perth,Budapest
cf_3358,3358,test,P740,Institut Polaire,{} originated in,Institut Polaire originated in,paraphrase_01,paraphrase_prompts,"1900)
 March 4
 Richard Manuel, Canadian musician (The Band) (b. Institut Polaire, created in",Perth,Perth,Budapest
cf_17870,17870,test,P364,Allegro Non Troppo,The language of {} was,The language of Allegro Non Troppo was,paraphrase_00,paraphrase_prompts,"1919)
 March 29 – Harry Ritz, American actor (b. The original language of Allegro Non Troppo is",Italian,Italian,Serbian
cf_17870,17870,test,P364,Allegro Non Troppo,The language of {} was,The language of Allegro Non Troppo was,paraphrase_01,paraphrase_prompts,The population was 171 in 2018. The original language of Allegro Non Troppo was,Italian,Italian,Serbian
