layer,pair_type,n_rows,mean_active_features,std_active_features,mean_sum_activation,mean_max_activation,accuracy
2,correct_correct,802,5.9264339152119705,4.148711816826163,806.5900195875668,387.98199746376855,1.0
2,correct_wrong,1082,6.6377079482439925,5.122728870276483,877.3931657435053,374.3562289535889,0.5
2,wrong_wrong,2498,6.054443554843875,4.063798176257931,826.5143599010067,377.8202001420472,0.0
3,correct_correct,802,7.779301745635911,4.052701571013133,965.4709362305905,424.0747595237675,1.0
3,correct_wrong,1082,8.617375231053604,5.1579665752282,1058.159850369099,407.50717978204244,0.5
3,wrong_wrong,2498,8.207766212970377,4.333474649427645,1009.1148513537393,410.67885855925954,0.0
4,correct_correct,802,9.685785536159601,3.159674510945926,1249.2590134161667,451.8641126447188,1.0
4,correct_wrong,1082,10.05822550831793,3.715274842261242,1323.191480090129,450.19483514810446,0.5
4,wrong_wrong,2498,10.056044835868695,3.2823452038498364,1312.161324029927,455.23646202728787,0.0
12,correct_correct,802,17.356608478802993,4.097746095720998,4467.6942965157905,1009.3064290948045,1.0
12,correct_wrong,1082,17.22920517560074,4.5120003539180615,4425.6941425654895,974.2890001674236,0.5
12,wrong_wrong,2498,16.88871096877502,4.340672111664853,4378.541552187062,973.3343741155034,0.0
15,correct_correct,802,16.91645885286783,4.550644786067849,4798.7325061978845,820.9971084023949,1.0
15,correct_wrong,1082,17.171903881700555,4.802676739584214,5060.974398403203,861.2600030810908,0.5
15,wrong_wrong,2498,16.88630904723779,4.541435265297621,5032.007803215229,854.6110687011524,0.0
18,correct_correct,802,16.465087281795512,4.423228105272637,8537.966897940694,1804.6897708578895,1.0
18,correct_wrong,1082,16.85674676524954,4.59686533469119,8569.917341926843,1730.8249325003069,0.5
18,wrong_wrong,2498,16.804643714971977,4.304334932625155,8448.41730865161,1613.5008881372676,0.0
