row_id,fact_id,variant_id,layer,pair_type,is_correct,subject,correct_answer,target_new,n_active_features,sum_active_activation,max_active_activation,mean_active_activation
0,cf_20952,paraphrase_00,2,correct_wrong,False,Angola,Africa,Antarctica,4,749.7532348632812,383.9385986328125,187.4383087158203
1,cf_20952,paraphrase_01,2,correct_wrong,True,Angola,Africa,Antarctica,4,785.1380615234375,379.7301025390625,196.28451538085938
2,cf_3648,paraphrase_00,2,wrong_wrong,False,Shanghai,Barcelona,Dresden,5,787.5726318359375,277.8204345703125,157.5145263671875
3,cf_3648,paraphrase_01,2,wrong_wrong,False,Shanghai,Barcelona,Dresden,6,907.55224609375,385.92095947265625,151.25870768229166
4,cf_819,paraphrase_00,2,correct_wrong,True,2011 Cannes Film Festival,Cannes,Prescott,4,595.2102661132812,425.138671875,148.8025665283203
5,cf_819,paraphrase_01,2,correct_wrong,False,2011 Cannes Film Festival,Cannes,Prescott,5,745.458984375,435.7333984375,149.091796875
6,cf_9012,paraphrase_00,2,correct_wrong,False,Delta Goodrem,Australia,India,5,1036.943359375,506.26007080078125,207.388671875
7,cf_9012,paraphrase_01,2,correct_wrong,True,Delta Goodrem,Australia,India,4,563.65087890625,426.0084228515625,140.9127197265625
8,cf_8024,paraphrase_00,2,correct_correct,True,Google Patents,Google,Microsoft,4,666.8593139648438,384.25,166.71482849121094
9,cf_8024,paraphrase_01,2,correct_correct,True,Google Patents,Google,Microsoft,5,591.5924072265625,433.5201110839844,118.3184814453125
10,cf_7314,paraphrase_00,2,correct_wrong,True,Lady Gaga,piano,violin,5,565.6140747070312,275.4687194824219,113.12281494140625
11,cf_7314,paraphrase_01,2,correct_wrong,False,Lady Gaga,piano,violin,7,1171.935546875,261.1341247558594,167.41936383928572
12,cf_4572,paraphrase_00,2,wrong_wrong,False,Cologne,Beijing,Cairo,4,864.8753051757812,396.6123046875,216.2188262939453
13,cf_4572,paraphrase_01,2,wrong_wrong,False,Cologne,Beijing,Cairo,8,907.6409912109375,313.33404541015625,113.45512390136719
14,cf_3358,paraphrase_00,2,wrong_wrong,False,Institut Polaire,Perth,Budapest,4,556.12255859375,431.31658935546875,139.0306396484375
15,cf_3358,paraphrase_01,2,wrong_wrong,False,Institut Polaire,Perth,Budapest,3,571.2779541015625,429.00054931640625,190.42598470052084
16,cf_17870,paraphrase_00,2,correct_correct,True,Allegro Non Troppo,Italian,Serbian,4,755.4500122070312,274.44140625,188.8625030517578
17,cf_17870,paraphrase_01,2,correct_correct,True,Allegro Non Troppo,Italian,Serbian,5,657.7488403320312,378.87744140625,131.54976806640624
18,cf_2848,paraphrase_00,2,wrong_wrong,False,Thenewno2,London,Leicester,5,629.9635620117188,412.35015869140625,125.99271240234376
