inspected_layer,inspected_feature_id,layer,feature_id,activation,prompt_rank,row_id,case_id,fact_id,variant_id,variant_source,pair_type,is_correct,subject,relation_id,correct_answer,target_true,target_new,generated_answer,strict_answer_segment,strict_matched_answer,prompt,template,base_prompt,feature_fraction_diff_correct_minus_wrong,feature_active_fraction_correct,feature_active_fraction_wrong,feature_total_active_count,n_correct_activations_in_dataset,n_wrong_activations_in_dataset,top_relations,top_subjects,analysis_source,analysis_direction,split,model_name
12,505,12,505,2238.28173828125,1,2089,11137,cf_11137,paraphrase_01,paraphrase_prompts,wrong_wrong,False,BBC Persian Television,P127,BBC,BBC,Vancouver," contrast, has been broadcasting in Farsi since 1997. The","contrast, has been broadcasting in Farsi since 1997. The",,"Doctors thought that his condition could lead to his death. BBC Persian Television, by","{}, from","BBC Persian Television, from",0.132,0.2271,0.0951,594,305,289,"P176:165, P27:113, P178:107, P19:69, P127:50","Hell Girl:2, iBooks Author:2, Windows Communication Foundation:2, Nokia Lumia 1520:2, Ferrari 575M Maranello:2",correct_vs_wrong,more_correct,test,google/gemma-3-4b-pt
12,505,12,505,2203.97998046875,2,1787,2660,cf_2660,paraphrase_01,paraphrase_prompts,correct_wrong,False,Google Person Finder,P127,Google,Google,Finland," the International Federation of Red Cross and Red Crescent Societies, is a tool to help","the International Federation of Red Cross and Red Crescent Societies, is a tool to help",,"It is the northern extremity of Grand-Îlet Passage. Google Person Finder, by",{} is owned by,Google Person Finder is owned by,0.132,0.2271,0.0951,594,305,289,"P176:165, P27:113, P178:107, P19:69, P127:50","Hell Girl:2, iBooks Author:2, Windows Communication Foundation:2, Nokia Lumia 1520:2, Ferrari 575M Maranello:2",correct_vs_wrong,more_correct,test,google/gemma-3-4b-pt
12,505,12,505,2198.052490234375,3,1211,10476,cf_10476,paraphrase_01,paraphrase_prompts,correct_correct,True,Liberty Bowl Memorial Stadium,P127,Memphis,Memphis,BBC," the University of Memphis, is the home of the Tigers. The Memphis Tigers are","the University of Memphis, is the home of the Tigers. The Memphis Tigers are",,"Thubana seimaensis is a moth in the family Lecithoceridae. Liberty Bowl Memorial Stadium, by",{} is from,Liberty Bowl Memorial Stadium is from,0.132,0.2271,0.0951,594,305,289,"P176:165, P27:113, P178:107, P19:69, P127:50","Hell Girl:2, iBooks Author:2, Windows Communication Foundation:2, Nokia Lumia 1520:2, Ferrari 575M Maranello:2",correct_vs_wrong,more_correct,test,google/gemma-3-4b-pt
12,505,12,505,2170.500732421875,4,2138,7653,cf_7653,paraphrase_00,paraphrase_prompts,wrong_wrong,False,Yahoo! HotJobs,P127,Yahoo,Yahoo,Montreal," clicking on the ""I Accept"" button. The Gallic Wars were a series","clicking on the ""I Accept"" button. The Gallic Wars were a series",,"The council declared Vercingetorix commander of the united Gallic armies. Yahoo! HotJobs, by",{}'s owner,Yahoo! HotJobs's owner,0.132,0.2271,0.0951,594,305,289,"P176:165, P27:113, P178:107, P19:69, P127:50","Hell Girl:2, iBooks Author:2, Windows Communication Foundation:2, Nokia Lumia 1520:2, Ferrari 575M Maranello:2",correct_vs_wrong,more_correct,test,google/gemma-3-4b-pt
12,505,12,505,2099.020751953125,5,2079,19640,cf_19640,paraphrase_01,paraphrase_prompts,correct_wrong,False,Google Trends,P127,Google,Google,Seoul," contrast, is a tool that allows you to see how often a particular search term","contrast, is a tool that allows you to see how often a particular search term",,"He was assassinated at the end of 192. Google Trends, by",{} is owned by,Google Trends is owned by,0.132,0.2271,0.0951,594,305,289,"P176:165, P27:113, P178:107, P19:69, P127:50","Hell Girl:2, iBooks Author:2, Windows Communication Foundation:2, Nokia Lumia 1520:2, Ferrari 575M Maranello:2",correct_vs_wrong,more_correct,test,google/gemma-3-4b-pt
12,505,12,505,2056.9345703125,6,272,17338,cf_17338,paraphrase_00,paraphrase_prompts,correct_correct,True,Aloha Stadium,P127,Hawaii,Hawaii,BBC," the way, is the largest stadium in Hawaii.

The 199","the way, is the largest stadium in Hawaii.",Hawaii,"The large version was more popular than the smaller one. Aloha Stadium, by","{}, from","Aloha Stadium, from",0.132,0.2271,0.0951,594,305,289,"P176:165, P27:113, P178:107, P19:69, P127:50","Hell Girl:2, iBooks Author:2, Windows Communication Foundation:2, Nokia Lumia 1520:2, Ferrari 575M Maranello:2",correct_vs_wrong,more_correct,test,google/gemma-3-4b-pt
12,505,12,505,1932.179443359375,7,3076,18789,cf_18789,paraphrase_00,paraphrase_prompts,correct_correct,True,Suzuki Aerio,P176,Suzuki,Suzuki,Dodge, the Japanese company Suzuki. The car is produced since 1998.,the Japanese company Suzuki. The car is produced since 1998.,,"References 

Category:Towns and villages in Dowreh County Suzuki Aerio is created by",{} is developed by,Suzuki Aerio is developed by,0.132,0.2271,0.0951,594,305,289,"P176:165, P27:113, P178:107, P19:69, P127:50","Hell Girl:2, iBooks Author:2, Windows Communication Foundation:2, Nokia Lumia 1520:2, Ferrari 575M Maranello:2",correct_vs_wrong,more_correct,test,google/gemma-3-4b-pt
12,505,12,505,1923.149658203125,8,3771,11697,cf_11697,paraphrase_01,paraphrase_prompts,correct_correct,True,BMW 4 Series,P176,BMW,BMW,Dodge, the BMW Group. The BMW 4 Series is a 2-door coupe,the BMW Group. The BMW 4 Series is a 2-door coupe,BMW,"He told the President of the Keely Motor Company, A.R. BMW 4 Series is created by",{} is a product of,BMW 4 Series is a product of,0.132,0.2271,0.0951,594,305,289,"P176:165, P27:113, P178:107, P19:69, P127:50","Hell Girl:2, iBooks Author:2, Windows Communication Foundation:2, Nokia Lumia 1520:2, Ferrari 575M Maranello:2",correct_vs_wrong,more_correct,test,google/gemma-3-4b-pt
12,505,12,505,1834.35009765625,9,3163,19739,cf_19739,paraphrase_01,paraphrase_prompts,correct_wrong,True,Dodge WC series,P176,Dodge,Dodge,Nokia, the Dodge brand of Chrysler Group LLC. The Dodge WC series was a series of,the Dodge brand of Chrysler Group LLC. The Dodge WC series was a series of,Dodge,"The questions were:
Which team makes you envy their relationship? Dodge WC series is created by",{} is a product of,Dodge WC series is a product of,0.132,0.2271,0.0951,594,305,289,"P176:165, P27:113, P178:107, P19:69, P127:50","Hell Girl:2, iBooks Author:2, Windows Communication Foundation:2, Nokia Lumia 1520:2, Ferrari 575M Maranello:2",correct_vs_wrong,more_correct,test,google/gemma-3-4b-pt
12,505,12,505,1831.828125,10,3470,6357,cf_6357,paraphrase_00,paraphrase_prompts,correct_correct,True,MobileMe,P178,Apple,Apple,Google," Apple, is a cloud-based service that allows you to access your data from","Apple, is a cloud-based service that allows you to access your data from",,"The angular pores number 5–6 per mm with entire mouths. MobileMe, created by",{} is developed by,MobileMe is developed by,0.132,0.2271,0.0951,594,305,289,"P176:165, P27:113, P178:107, P19:69, P127:50","Hell Girl:2, iBooks Author:2, Windows Communication Foundation:2, Nokia Lumia 1520:2, Ferrari 575M Maranello:2",correct_vs_wrong,more_correct,test,google/gemma-3-4b-pt
